case_number,published_date,report_number,category,product,brand,name,model,production_dates,ec_type_approval,company_recall_code,risk_type,danger,risk_description,legal_provisions,measures,measures_economic_operators,description,notifying_country,country_of_origin,risk_level,reference_url,recall_website
SR/04432/25,,,Motor vehicles,Passenger car,Porsche,"Cayenne, Cayenne Coupe, Panamera","e13*2007/46*0900*12-*14 (9YA), e13*2018/858*00425*01-*05 (YA)",4.4.2023 - 2.9.2025,,ASA9,Fire,"The screw connections of the high-pressure pumps are incorrectly tightened. As a result, the screw connection between the high-pressure pump and the fuel pipes may be faulty. This could cause fuel leakage and a fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): OtherCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10097092,
SR/04255/25,,,Motor vehicles,Passenger car,Opel,Corsa D,"e1*2001/116*0379*09, e50*2001/116*0001*01",28.04.2009-19.05.2009,,KKC,Injuries,"In the event of an accident, the passenger airbag may not open as intended. The protective effect of the airbag is therefore impaired. In the event of an accident, there is an increased risk of injury. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): OtherCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096910,
SR/04252/25,,,Motor vehicles,Passenger car,CITROEN,"C3 Aircross V3, C3 V5","e2*2018/858*00035*09  C3 AIRCROSS V3, e2*2018/858*00035*09  C3 V5, e2*2018/858*00035*11  C3 V5, e2*2018/858*00096*02  C3 V5, g11*2018/858*00523*02 à g11*2018/858*00523*04  C3 V5, g11*2018/858*00523*03  C3 AIRCROSS V3, g11*2018/858*00813*00  C3 V5",10.06.2025 - 02.11.2025 // VIN: VR7CPZYA9ST069259 - VR7CGHPY7TT005473 C3 AIRCROSS V315.05.2025 - 01.11.2025 // VIN: VR7CBZYAXRT213054 - VR7CCHPV4TT005609 C3 V5,,GQ8,Injuries,"The brake pedal support may not be attached securely enough due to a missing or poorly assembled pin. If the pin falls, the brake pedal could disengage, making it impossible to stop the vehicle. This may lead to injuries. If the brake pedal fails, the electronic parking brake on the centre console may be used while driving to slow the vehicle down to a controlled stop. Furthermore, when active, the automatic emergency braking system intervenes when it detects an imminent collision. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 20/11/2025,,Passenger car.,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096920,
SR/04280/25,,,Motor vehicles,Passenger car,Kia,SPORTAGE,e4*2018/858*00079* (NQ5e),12.05.2025 - 27.05.2025,,250S54,Injuries,"The internal thread diameter of the tie rod may be too large. Over time, this can reduce the fastening force, which could result in a loss of steering control and increase the risk of an accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Slovakia,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096937,
SR/04224/25,,,Motor vehicles,Passenger car,Mini,MINI COUNTRYMAN,e1*2018/858*00370* (UMX),05.08.2025-23.09.2025,,007287020000728802000072890200,Injuries,"The seatbelts in the second row may not have been manufactured correctly and could cause the car-sensitivity sensors to fail. This could reduce the protective effect of the seatbelts and lead to injuries. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096871,
SR/04146/25,,,Motor vehicles,Passenger car,Mercedes-Benz,CLA,e1*2018/858*00500*00-*01 (MMCLAE),16.07.2024-22.08.2025,,9190319,Injuries,"The driver/passenger seat belt buckles may not meet the specifications. As a result, the seat belt may not provide sufficient protection in the event of a frontal impact, increasing the risk of injury. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096828,
SR/04170/25,,,Motor vehicles,Passenger car,Mercedes-Benz,CLA-Klasse,e1*2018/858*00500*00-*01 (MMCLAE),18.04.2024 - 06.10.2025,,9193004,"Fire, Injuries","The wiring harness near the “D” pillar may be damaged by adjacent components. This can disable the window bag, reducing occupant protection in a crash. The damage may also increase electrical resistance, creating a potential hotspot and a possible fire risk. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096852,
SR/04171/25,,,Motor vehicles,Passenger car,Mercedes-Benz,CLA-Klasse,e1*2018/858*00500*00-*01 (MMCLAE),28.07.2025 to 11.08.2025,,9192113,Injuries,"Defective side curtain airbag fabric may reduce airbag protection and therefore increase the risk of injury. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096853,
SR/04172/25,,,Motor vehicles,Passenger car,Nissan,QASHQAI,"J12, e9*2018/858*11042*",04.05.2021 - 17.10.2024,,PG5C6,Fire,"The fuel line may move within its retaining clip during engine operation. This movement could damage the fuel line and result in a fuel leak. There is a risk of fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): OtherCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,United Kingdom,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096869,
SR/04168/25,,,Motor vehicles,Passenger car,Bmw,"X1, X2, 1 series, 2 series","F7, U2X, U1X, e1*2018/858*00397*, e1*2018/858*00371*, e1*2018/858*00153*",30.07.2025 - 13.10.2025,,0072910200,Injuries,"The seatbelts in the second row may not have been manufactured correctly and could cause the car-sensitivity sensors to fail. This could reduce the protective effect of the seatbelts and lead to injuries. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096870,
SR/04112/25,,,Motor vehicles,Passenger car,VW,Touareg,e1*2007/46*1827* (CR),27.09.2018 - 21.08.2024,,93FK,Fire,"The high-voltage battery’s cell modules could overheat during charging. This may lead to fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Slovakia,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096738,
SR/03987/25,,,Motor vehicles,Passenger car,Audi,Q5,e1*2007/46*1550* (FY),17.08.2020 - 23.08.2024,,15ZK,Fire,"Divergent torques during the bolting process may cause the cylinder head cover bolts to loosen. Motor oil may come out of the cylinder head cover bolt holes, come into contact with hot parts of the engine, and thereby generate smoke or cause a fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096576,
SR/03984/25,,,Motor vehicles,Passenger car,Ferrari,296 GTB – 296 GTS,"e3*2018/858*00044*03, e3*2018/858*00044*04",2021,,93,Fire,"Incorrect tightening of the fuel delivery pipes in the lubrication system of the left and right turbochargers can cause oil leaks and overheating of the pipes. This increases the risk of fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Italy,Italy,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096577,
SR/03985/25,,,Motor vehicles,Passenger car,Audi,"A6, A7, Q5","e1*2007/46*1801* (F2), e1*2007/46*1550* (FY)",01.08.2019 - 31.08.2024,,93AD,Fire,"The high-voltage battery’s cell modules could overheat during charging. This may lead to fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096643,
SR/03986/25,,,Motor vehicles,Passenger car,Mercedes-Benz,"A-Class, B-Class, CLA-Class","F2A, F2CLA, F2B, e1*2007/46*1829*24, e1*2007/46*1912*24, e1*2007/46*1909*29",03.06.2025 - 03.07.2025,,"9190021, 9190022",Injuries,"A washer for the front safety belts may not correspond to specifications and could not withstand the loads. In the event of an accident, the restraining effect could be incomplete, increasing the risk of injuries. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096668,
SR/03880/25,,,Motor vehicles,Passenger car,Jeep,Avenger,"e3*2018/858*00078*09*00, e3*2018/858*00078*10*00, e3*2018/858*00078*13*00",05.11.2024 - 24.06.2024 // VIN: ZAC5JABL8RJL28550 - ZAC5JABL4SJM02133,,65C,Environment,"Due to incorrect coding in the Built-in Systems Interface, the Stop&amp;Start function is inoperative, which may result in increased CO2 emissions. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 29/09/2025,,Passenger car,France,Italy,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096510,
SR/03859/25,,,Motor vehicles,Passenger car,Audi,"A8, Q7, Q8","e1*2001/116*0350* (4L), e1*2007/46*1751* (F8)",22.08.2019 - 31.07.2024,,93QQ,Fire,"The cell modules of the high-voltage battery could overheat during charging which can lead to a fire. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096516,
SR/03905/25,,,Motor vehicles,Passenger car,VW,ID.3,e1*2007/46*2033* (E1),29.07.2025 - 16.09.2025,,93ES,Injuries,"An incorrectly installed spring pin in the differential could cause a housing rupture with an oil leak and loss of power transmission. In the event of sudden loss of power transmission, the vehicle may be difficult to control. Moreover, the leaking oil can pose a danger to following traffic. There is a risk of accident. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096553,
SR/03887/25,,,Motor vehicles,Passenger car,Peugeot,"508 V2, 5008 V2","e2*2007/46*0534*28  5008 V2, e2*2007/46*0628*28 - e2*2007/46*0628*31  508 V2",5008 V2: 05.09.2023 - 14.10.2024 // VIN: VF3MCYHZUPL067133 - VF3MCYHZ1SL001563508 V2: 15.11.2023 - 30.09.2024 // VIN: VR3FCYHZ1PY500049 - VR3FCYHZXSY502035,,MYQ,Environment,"Due to incorrect coding in the Built-in Systems Interface, the Stop&amp;Start function is inoperative, which may result in increased CO2 emissions. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 27/10/2025,,Passenger car,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096556,
SR/03825/25,,,Motor vehicles,Passenger car,Bmw,"4 Cabrio, M4 Cabrio","e1*2007/46*2126*, e1*2018/858*00003*",18.07.2025 - 28.08.2025,,0061300900,"Fire, Injuries","A defective screw connection between the battery cable and the fuse box in the car boot may become loose. This may result in impaired functioning which can lead to a fire or the engine cutting out during driving which can lead to injuries. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096438,
SR/03830/25,,,Motor vehicles,Passenger car,Bmw,"1, 2, 3, 4, 5, 6, 7, X3, X4, X5, X6, X7, Z4, 3Li Limousine","1K4, 1K2, G3X, G4X, G5X, G6X, G7X, 7L, G3L, G3K, G3C, G4Z, G5L, G5K, G6GT, G2C, G4C, e1*2007/46*0283* from NT *04, e1*2007/46*0273* from NT *04, e1*2007/46*1797*, e1*2007/46*1881*, e1*2007/46*1918*, e1*2007/46*2020*, e1*2007/46*1952*, e1*2007/46*0276*, e1*2007/46*1947*, e1*2007/46*2017*, e1*2007/46*2126*00-*11, e1*2007/46*1949*, e1*2007/46*1688*, e1*2007/46*1750*, e1*2007/46*1791*, e1*2018/858*00123*, e1*2018/858*00122*, individual approval in Germany (3Li Limousine)",28.09.2015 - 07.09.2021,,"0012550600, 0012560600, 0012570600, 0012620600",Fire,"Water may come into contact with the starter relay and gradually cause corrosion. This could affect the electrical connection inside the relay and make the engine difficult to start. It may also result in a short circuit and could cause the starter to overheat leading to a fire when the vehicle is in motion or when it is parked with the ignition off. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096439,
SR/03823/25,,,Motor vehicles,Passenger car,Bmw,"X5, X6, X7, 7, 8 (Coupe, Cabrio, Cran Coupe), M340","G05, G06, G07, G12, G14, G15, G16, G20 (US version) equipped with B58 engine",20.03.2018 to 11.02.2025,,0012590600,Fire,"The engine starter’s electrical contacts may overheat and cause the vehicle to start improperly. Continued starting attempts can intensify the overheating and  ignite surrounding components, potentially leading to a vehicle fire while driving or shortly after parking. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096440,
SR/03819/25,,,Motor vehicles,Passenger car,Toyota,GR Supra,"JTSC, e1*2007/46*1982*",07.02.2019 - 03.09.2020,,25SD-086,Fire,"Water may come into contact with the starter relay and gradually cause corrosion. This could affect the electrical connection inside the relay and make the engine difficult to start. It may also result in a short circuit and could cause the starter to overheat leading to a fire when the vehicle is in motion or when it is parked with the ignition off. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): OtherCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Austria,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096441,
SR/03831/25,,,Motor vehicles,Passenger car,Aston Martin,"Valkyrie Coupe, Valkyrie Spider","AM001, e9*KS18/858*11077*00-*02",16.06.2020 - 23.12.2024,,RA-18-2044,Fire,"Excessively long bolts on the fusebox locking plate may damage the wiring harness. This may cause the vehicle’s power supply, lights, power-assisted steering and other systems to fail. Moreover, the fusebox could overheat and catch fire. The product does not comply with the requirements laid down in the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): OtherCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,United Kingdom,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096468,
SR/03574/25,,,Motor vehicles,Passenger car,Opel,Grandland,"K, e2*2018/858*00064*08,*09",26.06.2025 - 13.08.2025,,KU7,Fire,"A defective bolted connection in the 48V heating connector may become detached, which could cause loss of heating or overheating and cause the vehicle to catch fire. The product does not comply with the requirements laid down in the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): OtherCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096139,
SR/03584/25,,,Motor vehicles,Passenger car,Opel,"Grandland X, Mokka","e2*2007/46*0597*30, e2*2007/46*0597*31  Grandland X, e2*2007/46*0639*33 - e2*2007/46*0639*35  Mokka",05/02/2024 - 13/11/2024 // VIN: W0VZRHNS4P6063427 -  W0VZCYHZSS6000451 Grandland X11/09/2024 - 07/05/2025 // VIN: VXKUSHPW5RW058746 - VXKUSHNS0SW035784 Mokka,,KTG,Environment,"Due to incorrect coding in the Built-in Systems Interface, the Stop&amp;Start function is inoperative, which may result in increased CO2 emissions. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 29/09/2025,,Passenger car.,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096232,
SR/03587/25,,,Motor vehicles,Passenger car,DS,DS7 Crossback,"e2*2007/46*0601*26, e2*2007/46*0601*27",10/11/2023 - 05/05/2025 // VIN: VR1JCYHZUPY599453 - VR1JCYHZ5SY550416,,GL8,Environment,"Due to incorrect coding in the Built-in Systems Interface, the Stop&amp;Start function is inoperative, which may result in increased CO2 emissions. The product does not comply with the Regulation on the approval and market surveillance of motor vehicles and their trailers, and of systems, components and separate technical units intended for such vehicles.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: 29/09/2025,,Passenger car.,France,France,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/10096234,
